review,sentiment
"I haven't read the book of this and based on this adaptation, will not bother. I hated every character in this show - Miranda was slutty, selfish and mumbled miserably through the appalling dialogue, her sister was a total wimp, and this was the worst depiction of manic-depression I have ever seen. I have a degree in Psychology, and this was not accurate. In fact, until it was mentioned, I did not realise Troy was supposed to be bipolar - I thought he was a normal, slightly grumpy teenager.<br /><br />The only saving grace in this stupid show was David Tennant, whose brilliantly psychotic performance was the only thing that got me to watch the second half. <br /><br />Clearly the writers and producers of this show have not done any research - Troy's mental problems are not remotely accurate, nor are the forensics involved in the ""twist"" ending (and if you did not spot that a mile off, you are a big ole dummy!) <br /><br />Utter garbage.",negative
"I've watched a lot of television in my 51 years, but I've never had so much fun week after week, as I had watching Oz. The acting by the entire cast was excellent. The writing was just perfect, with every character remaining consistent throughout the six year run. I also enjoyed the mayhem and the ultra-violence. It may sound odd, but it was at times, comical finding out how one of the characters would eventually end up dead. I particularly enjoyed the true romance and love between Beecher and Keller. Those two men really knew how to throw down, in every way possible. I truly hope that HBO will continue to show us re-runs of this great show FOREVER! I've watched every episode at least 4 times yet I still look forward to Tuesday and Thursday nights at 11 p.m. for an episode of this fun and very entertaining show.",positive
"This movie received a great write up in Blockbusters 'coming attraction' I was looking forward to the release date,08/07/02. The plot sounds reasonable, the cast alone should have guaranteed a side-splitter, but whoa there; apart from the 'off the wall betting events' this was quite a bore.<br /><br />This will never become a comedy classic, and I'm afraid it has done no help to the fine comedy reputation of John Cleese. Rowan Atkinson, now he was quite funny, in a Rowan Atkinson sort of way!",negative
"First of all, no one with any law enforcement experience (Not ER or EMT, but real law enforcement) takes this show seriously. Walker would be drummed out of any police force in the US for his illegal and totally unprofessional tactics. On top of that, he is a comic book character---no acting ability, incredibly trite lines, no character development. The fact that Alex Cahill loves him shows just how dumb blondes really are. And Trivett is the ultimate clown in black-face. Come on---if you think Walker is a heartfelt show without bias, then explain why JT is treated as a dolt, always is the subject of Walker's jokes, never is allowed to be the one to solve the crime, and never rescues Walker, who should be dead 50 times over for the stupid things he does. While it may be true that many criminals are even dumber than the detectives who go after them (and believe me, most cops are dumber than dirt), the smart ones Walker comes up against never seem to get the point that once Walker is captured, the jerk needs to be put of his misery. But then again, Norris produced the show as well as starred in it, so how could he willingly get rid of himself or even show how stupid his tactics are. As if six guys are going to wait around to take him one at a time. What a terrible series! It is more demeaning than any of the hokey westerns like The Lone Ranger, Roy Rogers, The Cisco Kid, and Wild Bill Hickock, though I would imagine that most of you on here are far too young to remember those shows. But like those shows, in the same way as those shows, Walker TR is just as insulting and just plain silly.",negative
"I cannot get past the message of this movie. It's laid out much too clearly to ignore, and it is obscene because it has lost its sense of what it's about. I haven't read the novel, but Pollack's film opens with a scene at a CIA-front organization in New York, which is broken into by two professional assassins, headed by Max von Sydow, who proceed to brutally slaughter the half dozen quirky staff members we've come to know and understand. The staff include an elderly female receptionist, a fussy elderly professorial guy who's toupee falls off when he is machine-gunned (is that a joke?), and, last, the beautiful Tina Chen who looks up from the copier, realizes she is about to be murdered, and says, pitifully brave, ""I won't scream."" Von Sydow replies sympathetically, ""I know."" These murders are completely unexpected, savage, unmotivated by anything that we are aware of, and graphic. It is a brutal scene. <br /><br />There is absolutely no way in which von Sydow and his henchman can be redeemed. And yet that is exactly what Pollack tries to do towards the end.<br /><br />After having killed these innocent good guys, von Sydow switches sides (because the other side is willing to pay him) and assassinates the evil mastermind behind a complicated intramural CIA plot. The script then turns him into a perfectly reasonable, sensitive human being. ""It is better to live in Europe. Things are not so rushed."" Or whatever. I swear I'm not making this up. Pollack wants us to believe that it is better to be an honest mass murderer than a crooked bureaucrat. That's the message. You should write it down in case you forget. Just exactly what kind of psychiatric shambles do you have to be in order to turn ordinary values, not to mention common sense, upside-down like that? I understand that there are thoughtful adults who dislike the government of the United States, even hate it, and who see conspiracies just about everywhere, providing a knee-jerk explanation for otherwise unexplainable events. I know that people who think this way exist because I number some of them among my closer friends. Nevertheless, at some point this dislike, this hatred, if it increases in intensity, must pass beyond politics or ethics and into the realm of the psychiatric. I don't for a moment believe that a man who murders people for money is better than a sinister government official. I don't care how suave and cultured the murderer is or whether he knows how to reach the Louvre on the Metro. Whoever is purveying that message needs either medication or meditation.<br /><br />I'd like to be able to argue that the production is as thoroughly rotten as its message, but I can't. It's quite well done. (In some ways that's worse, because it makes the film less dismissable.) Even New York City looks photogenic on the screen. And it's been a long time since I've thought of New York as photogenic. Robert Redford does an admirable job of projecting his character's initial shock and confusion, but then turns into a telecommunicational semi-genius. And, man, he looks just fine! His wardrobe is just right. Even his rimless glasses are becoming. And his peacoat. It's not everyone who can make a navy pea jacket look glamorous. He seems extremely handsome too, the swine. I want to look like that. I want to wear a denim shirt and a tie with such panache. Faye Dunaway is alright in her role but it's not too believable a role. Would anybody eagerly sleep with a guy who has just kidnapped her and is holding her at gunpoint? Even if he did look like Redford? Would anyone be emotionally wounded if, when this ambivalent relationship is about to end, Redford asked her not to tell anybody about what happened? Cliff Robertson is surprisingly good. He does one or two extremely good double-takes. The mailman is superb. The fight between him and Redford in a crowded apartment is exquisitely choreographed and, for once, we really don't know for sure how it will turn out, because Redford (a book reader after all) seems mismatched against the brute cunning of this hired assassin. This is one of John Housemann's final roles. A shame. He's a magnet on screen. And what an end to his life: a friend finds him lost, wandering the streets of New York, in a neighborhood he'd been familiar with for most of his life. <br /><br />Yes, the movie is very well executed, but I can't ignore that vicious, paranoid message. I have the same problem with Leni Riefenstahl's ""Triumph of the Will."" Or her Olympic documentary in which the announcer is watching a foot race in which Jesse Owens is pulling into the lead and says ominously, ""This Negro is dangerous.""",negative
"I guess this is the first movie that made me aware of the term ""cult flick"". It is totally a bad movie, but I can't help it, I like this movie. Richard Boone has made better and so has Joan Van Arc, but if you are in to staying up late and watching movies that don't make you think to much this one is for you.",positive
"I rarely make these comments but I felt compelled to spare others the pain I endured in watching this movie. It's so stupid and implausible both in the overall story and in the details that you simply can't suspend disbelief. The problem starts early, when you see a government researcher tooling around in a new Porsche and dining with his team in a restaraunt that looks like a castle, overlooking the Capitol Building in Washington, D.C. That kind of life on a government salary? Hah! It only gets worse. Toward the end, when the bad guy starts killing off the good guys, the latter group act so stupidly that you want them to die, in order to cleanse the gene pool. The special effects are pretty good - any producer's money can buy that - and the lead actors have been great in other films, but the screenplay and direction here are moronic. Many people have wondered whether there was some deliberate intelligence behind Paul Verhoeven's previous, facially stupid movies (Showgirls, Starship Troopers), but this movie should stop the wondering. He's just plain bad.",negative
"""Journey of Hope"" tells of a poor Turkish family and their odyssey of hope which spirals downward into despair as they travel to Switzerland in search of prosperity. Although this Oscar winning film is fairly well crafted, it is lacking in substance and has many implausibilities. Much of the film's 1.7 hour run time is get on the bus, get off the bus, get on the boat, get off the boat, get in the van, get out of the van, etc.; time which could have been better spent or left out completely. The story has a predictable conclusion, especially for those who have an awareness of the common crime of trafficking in illegal immigrants. A worthwhile and reasonably entertaining watch but over-rated.",positive
"Rourke does his usual bit part,as a sinister,rancorous,Neanderthalian,ferocious,evil jerk,in the same mold as in ""Picture Claire"",""Out in Fifty"",""Get Carter"",""Double Team"" and the rest of the garbage he happens to be in.<br /><br />He has very few lines.<br /><br />Of course,all this is just junk,undervaluing Rourke,abasing him,and doesn't matter for his characterization as an actor.Still ,after seeing ""A Prayer ..."",""Johnny Handsome"",""Barfly"",""9 1/2 Weeks"",""Year of the Dragon"",etc.,etc.,for many years I considered Rourke an outstanding,smart,intelligent man.I think he has changed since.<br /><br />He looks callous,calcined.<br /><br />""He went about with gloomy looks;/Despair inhabited his breast/And made the man a perfect pest.""(Belloc,""The Example"").<br /><br />I had absolutely no other reason to watch this dull movie except that Rourke was in.",negative
This started out as a good sketch comedy. The first few shows were very good and I was looking forward to a long run. What was really funny was the Mariah Carey imitation and the take off on Beverly Hills 90210 featuring the hair fight. The Delta Burke vs William Conrad heavy weight battle was also good. Unfortunately the following shows went downhill relatively quickly. The writing became uninspired and oh so predictable as if the show had acquired a cult following in it's young tenure. Nothing fresh was being offered and the recurring skits were boring. One example is the gun family (or whatever it was called) which became a weekly feature. This sketch was not all that funny to begin with let alone being a regular feature. An example of a quick promising start then a sudden fall.,negative
"Fascinating downer about a would-be male hustler in New York City forced to live in a condemned building with a crippled con-man. Extremely bleak examination of modern-day moral and social decline, extremely well-directed by John Schlesinger (who never topped his work here) and superbly acted by Jon Voight and Dustin Hoffman. Packs quite a punch overall, yet the ""fantasy"" scenes--some of which are played for a chuckle--are mildly intrusive, as is the ""mod"" drug party. The relationship that develops between the two men is sentimental, yet the filmmakers are careful not to get mushy, and this gives the picture an edge it might not have had with a lesser director than Schlesinger. Originally X-rated in 1969, and the winner of the Best Picture Oscar; screenwriter Waldo Salt (who adapted James Leo Herilhy's book) and Schlesinger also won statues. ***1/2 from ****",positive
"The one who says that Lucio Fulci is not one of the most important names in the history of splatter is probably mad.The Italian director is a legend among hardcore-horror fans,and his work exceeds the barriers of the genre(who can forgot his western,crime or fantasy flicks).This is probably his goriest film,and unfortunately one the last.A horror director(Fulci as himself) starts hallucinating about gruesome murders.He goes to a psychiatrist,who makes him believe he is the criminal.In this time,the doctor begins a long chain of serial crimes.With such a plot,the movie should have been filled with something.And there are roting corpses,crashed or melted heads,stabbings,decapitations,chainsaw dismemberment and many others.Kind of boring sometimes,the film is saved by the excessive violence that will definitely please the gore addicts.",positive
"Well, basically, the movie blows! It's Blair Witch meets Sean Penn's ill conceived fantasy about going to Iraq to show the world what the ""War on Terror"" is really about. The script sounds like it was written by 8th grader (no offense to 8th graders); the two main actors over-act the entire film; they used the wrong kind of camera and the wrong type of film(not that i know anything about those things--but it just didn't look like real documentaries I've watched), and worst of all Christian Johnson took a great idea and made it suck. It reminded me of the time I tried to draw a picture of my dog and ended up with a really bad stick figure looking thing that looked more like a giant turd. I'd rather watch the Blair Witch VIII, than sit through that again.",negative
"Whilst I have loved haunted house movies such as Amityville and Poltergeist, this made for TV adaption of Susan Hills book packs a huge punch on the horrors of Hollywood.<br /><br />With a brilliant cast (many of which star in Heartbeat and other TV dramas), great acting, and fantastic setting (which portrays 1920's life convincingly), it has all the right ingredients to entice the viewer into what is a powerful ghost story.<br /><br />Herbert Wise did not need blood, violence, or gore to send chills down the spines of an audience. Using your own imagination, the Woman In Black is a figure of fear and dread, and whose presence is never absent once she first appears.<br /><br />The main character Arthur Kidd, a solicitor, learns about his unseen spectre on his mission to settle the estate. The widow dies and Arthur spends few nights inside her dreary home in which he notices many oddities, which may haunt him for some days. Some of the scenes are very unsettling and claustrophobic, particularly the locked room which opens itself, which turns the generator off and closes Arthur in darkness. The film becomes more harrowing the more you put yourself in Arthurs shoes, and his efforts to shake this ghost off. The writer puts many chilling additions into the story, an example being the tin soldier's re-appearance. One is eager to learn the meaning of it all. The fact we never really learn that much about the widow, leaves more to the imagination and makes it all the more unsettling.<br /><br />The widow for the most part, looks vicious and intimidating. The scene after winding the generator sent the chills down me, a woman who appears out of nowhere on isolated marshy land with a howling wind  having been on such properties myself I can appreciate how isolating this is. And the scene in the inn was perhaps the most horrible things I've seen, one I don't wish to watch in a hurry or show to elderly relatives. I have often woken up at night thinking she was behind me in my sleep.<br /><br />The Woman In Black is a great TV movie and a lost gem. I agree to some extent the Internet hype for this film has been totally overblown and can see why people were disappointed after spending the best of £50 on it, but I think the net has defeated hidden gems because it makes films like these over-exposed. I think it's still brilliant and fantastically acted and I consider it the greatest ghost story of the last century.",positive
"This tender beautifully crafted production delved deep down bitter sweet into my being. The irreverent pupils, the life embittered bus driver and the teachers personalities present a subliminal debate as the story unveils. The adult characters all seem familiar, my teachers, my bus driver, each one of their opinions so plausible and well known. When a key incident happens on the bus we are sent on a circuit of viewpoints. All the time the babble of teenage energy is only just kept under control by the organisers of the trip. Mr Harvey is experiencing much pain throughout . He reminds me of war damaged teachers I did not understand when I was an irreverent pupil.<br /><br />Rhidian Brook and the producers deserve much acclaim for this well shaped British film. The acting unblemished, the scenes appropriate, it should be widely available yet does not seem to have been given the right opportunity.",positive
I saw this movie with very low expectations. I didn't know a lot about it so I wasn't sure if it was going to be worth it.<br /><br />The story did an OK job of getting you curious about these ruins they travel to. The suspense continues when the Mayans show up and force them to stay at the ruins.<br /><br />Then the movie turns from somewhat suspenseful to pointless. The amount of gore found in this movie did not balance out compared to whether it was truly necessary or used more for shock value.<br /><br />The fact that they didn't make any attempt to fight the vines from hell. They had fire and didn't try to burn it nor did they try to cut it with a knife to see if they could destroy it or not. They quickly jumped into a victim role and their helpless attitude was not real. It reminded me of the old horror movies where the people just scream and yell and don't have half a brain to try to fight back.,negative
"Jamie Foxx was the epitome of Ray Charles. After a few moments you stop seeing a film and see a biography played by the great man himself. Ray Charles was truly a genius of music and the movie excellently depicted that. No one has ever or will ever write, play, or record music like this musical giant. When he passed the flesh, the world lost one of it's greatest American heroes. As far as the movie, the fact that Jamie Foxx received a classical music scholarship to college and could play like Ray was an asset to the director. What could be better than that? You don't have to have a ""double"" play piano and then try to split the screen from someone else's hands to Jamie's face. It worked beautifully. I loved the fact that it also picked up how difficult Ray was. He wasn't always a nice man. You didn't also root for him. He was a drug addict, a womanizer, and sometimes just plain hard-headed. But I guess that's what made him genius so I can't fault him for that. I pick Jamie for Best Actor!",positive
"There is only one word that describes this film: BAD!! I have no idea why this movie was even made, or how they got Dennis Hopper to star in this film. Stuart Gordon is a better director than this and Hopper is a much better actor. The film is plain stupid. I did like the ""square pigs"" idea and there was an interesting love scene involving a cyborg, other than that, avoid this film at all costs.",negative
"I see that C. Thomas Howell has appeared in many movies since his heyday in the 80s as an accomplished young actor.<br /><br />I bought this DVD because it was cheap and in part for the internet-related plot and to see how much older C. Thomas Howell is; I do not recall seeing him in any movies since the 1980s.<br /><br />In just a few words: what a very big disappointment. I give some low budget movies a chance, but this one started out lame. Within the first 15 minutes of the movie, this elusive woman is chatting with an Asian guy in a chatroom. They basically stimulate themselves to their own chat, she then insists on meeting the participant in person. She meets him, has sex, ties him up and then murders him in cold blood. The plot then deteriorates further.<br /><br />The plot is thin and flimsy and the acting is very stiff. Do not bother renting it much less purchasing it, even if it is in the $1 DVD bin. I plan to take my copy of the DVD to Goodwill. I am truly amazed that any of the prior reviewers here gave this movie a bad rating.",negative
"I have never understood the appeal of this show. The acting is poor (Debra Jo Rupp being a notable exception), the plots of most episodes are trite and uninspiring, the dialogue is weak, the jokes unfunny and it is painful to try and sit through even half an episode. Furthermore the link between this show and the '70s' is extremely tenuous beyond the style of dress and the scenery and background used for the show -it seems to be nothing more than a modern sitcom with the same old unfunny, clichéd scripts that modern sitcoms have dressed up as depicting a show from twenty years ago in the hope that it will gain some nostalgic viewers or something like that. Both ""Happy Days"" and ""The Wonder Years"" employ the same technique much more effectively and are actually a pleasure to watch in contrast to this horrible, pathetic excuse for a show",negative
"Of course the plot, script, and, especially casting are strong in the film. So many fine things to see. One aspect I liked especially is the idea of the antagonist--Luzhini's (Turturro's)--ex-mentor working his evil on the sidelines. His chess opponent--an Italian dandy in three piece and cane--turns out to be a real gent, and a truly fine chess player. To his credit the ""opponent"" nobly goes along with the plan at the end to complete the final game for the championship posthumously (Luzhin has taken a flyer out a window--sad, but so releasing to him)by way of the unstable genius' widow (Emily Watson.) In death, then, because of the gallantry of an honorable chess master, Luzhin's defence (which he worked out in a late moment of lucidity) is allowed to be played. The Italian gent commends the play and calls it brilliant. Talk about a dramatic ""end game!""",positive
"OK, Chuck Norris has shown up in many an entertaining movie over the years. This is not one of them. I won't even bother trying to get into the plot about a Bible shipment gone wrong. The ""acting"" of the main characters is so wood like, Pinocchio would have done a better job! The synthesizer based soundtrack is even worse than the one in Deathstalker. Whereas traditionally low budget spooky movies are often trying to catch their audience by adding plenty of graphic violence, this one is trying to catch an audience by throwing religious mambo jumbo at the spectator. The plot boils down to different versions of the Bible.",negative
"This movie is about Tyrannus, a gladiator who is brought back from the dead to summon Tyrannus, a gladiator who must be brought back from the dead. Tyrannus, we learn after about an hour, is also called Demonicus. This adds much needed depth to the screenplay and calls into question our assumptions about identity, psychology and ourselves. <br /><br />The spirit of Tyrannus accomplishes his little to-do list (killing some people and saying repetitive phrases in Latin) by possessing the body of a college guy. He uses a magic mind-control helmet to do this, which the college boy willingly puts on his head, and then at several points in the movie, takes off and puts back on.<br /><br />Maria performs oral sex on a poor man's Sean Willian Scott, and Tyrannus wears the Rollerball glove. Tyrannus has his own green backlighting for no reason, and has apparently been sitting next to CG fire in an ancient concrete tunnel for centuries like this. Utter misfortune.<br /><br />This movie is empty and will hurt you. See it.",negative
